Taxa,trnL-LF,rbcL,ITS,matK
Draba juvenilis,DQ467011.1,KC482604.1,DQ467228.1,KC474614.1
Draba kamtschatica,GU202735.1,,GU202490.1,
Draba kananaskia,DQ467226.1,,DQ467653.1,
Draba kassii,AY900362.1,,AY047672.1,
Draba koeiei,AY134354.1,,AY134182.1,
Draba kongboiana,AY900330.1,,DQ467348.1,
Draba korshinskyi,AY900411.1,,DQ467403.1,
Draba kotschyi,AY900387.1,,DQ467229.1,
Draba kurilensis,DQ467054.1,,,
Draba kusnetzowii,GU202614.1,,FM957510.1,
Draba lacaitae,DQ466908.1,,DQ467231.1,
Draba lactea,GQ244865.1,KT960407.1,DQ467280.1,KC474621.1
Draba ladina,AF120740.1,,AF120723.1,
Draba ladyginii,AY134388.1,,AY134184.1,
Draba lanceolata,DQ467200.1,JF941442.1,DQ467404.1,JF953664.1
Draba lapaziana,GU202904.1,,GU202495.1,
Draba lapponica,DQ466979.1,,,
Draba lasiocarpa,GU202741.1,,DQ467236.1,
Draba lasiophylla,AY134304.1,,DQ467407.1,
Draba laurentiana,AY900389.1,,DQ467237.1,
Draba lemmonii,AY900315.1,,DQ467238.1,
Draba lichiangensis,DQ467057.1,JN862819.1,DQ467408.1,
Draba lindenii,GU202620.1,,GU202498.1,
Draba linearifolia,AY134287.1,,,
Draba litamo,GU202837.1,,AF146466.1,
Draba lonchocarpa,DQ467224.1,,DQ467541.1,
Draba longipes,DQ467220.1,,DQ467640.1,
Draba longisiliqua,AY900316.1,,DQ467240.1,
Draba lutea,,,DQ467509.1,
Draba luteola,DQ467122.1,,DQ467544.1,
Draba lutescens,AY900326.1,,DQ467335.1,
Draba macbeathiana,AY134232.1,,AY134095.1,
Draba macleanii,GU202622.1,,AF146467.1,
Draba macrocarpa,AY900416.1,,DQ467469.1,
Draba magellanica,AF147007.1,,GU202501.1,
Draba maguirei,DQ467187.1,,DQ467612.1,
Draba matangensis,AY134292.1,,AY134096.1,
Draba matthioloides,AF146971.1,,AF146503.1,
Draba melanopus,AY900412.1,,DQ467409.1,
Draba mexicana,DQ467136.1,,DQ467580.1,
Draba micropetala,GQ244867.1,KC482613.1,DQ467589.1,KC474625.1
Draba mogollonica,AF146938.1,,AF146490.1,
Draba mollissima,AY900392.1,,,
Draba mongolica,AY134296.1,,FM957490.1,
Draba murrayi,DQ467178.1,,DQ467603.1,
Draba natolica,AY900393.1,,,
Draba nemorosa,GU202752.1,JN965485.1,DQ467359.1,JN966268.1
Draba neomexicana,DQ466928.1,,,
Draba nivalis,DQ466932.1,JN965490.1,DQ467598.1,KC474628.1
Draba nivicola,GU202633.1,,AF146481.1,
Draba norica,DQ466944.1,,,
Draba norvegica,DQ466936.1,KJ841284.1,DQ467245.1,KJ840908.1
Draba novolympica,,,AY047679.1,
Draba nuda,GU202757.1,,GU202513.1,
Draba nylamensis,AY134238.1,,AY134186.1,
Draba oblongata,GQ244872.1,KC482625.1,DQ467467.1,KC474638.1
Draba obovata,GU202638.1,,GU202516.1,
Draba ochroleuca,GU202639.1,,FM957513.1,
Draba odudiana,AY134358.1,,AY134100.1,
Draba ogilviensis,DQ467177.1,,DQ467600.1,
Draba olgae,DQ466937.1,,DQ467249.1,
Draba oligosperma,AF146939.1,KC482628.1,DQ467551.1,KC474639.1
Draba olympica,DQ467175.1,,DQ467599.1,
Draba oreades,DQ467166.1,,AY134166.1,
Draba oreadum,DQ467071.1,,DQ467334.1,
Draba ossetica,KC412361.1,,KC412308.1,
Draba oxycarpa,GQ244873.1,KT960389.1,DQ467592.1,
Draba palanderiana,DQ860553.1,,DQ467554.1,
Draba parnassica,AY900320.1,,DQ467256.1,
Draba pauciflora,GQ244875.1,KC482629.1,DQ467555.1,KC474640.1
Draba paysonii,AF146980.1,,DQ467615.1,
Draba pectinipila,DQ467129.1,,DQ467557.1,
Draba pennell-hazenii,AF147027.1,,AF146443.1,
